Date,Source,Destination,Specification,Asset Name,Operator,Production,Total
30 Sep 2025,Mining Bench 3 (EX-141),Coal stock ,Coal,BB-78,,589,31
29 Sep 2025,Mining Bench 3 (EX-141),Coal stock ,Coal,BB-78,,285,15
27 Sep 2025,Mining Bench 3 (EX-141),Coal stock ,Coal,BB-52,,190,10
26 Sep 2025,Mining Bench 3 (EX-141),Coal stock ,Coal,BB-52,,285,15
25 Sep 2025,Mining Bench 3 (EX-141),Coal stock ,Coal,BB-52,,361,19
24 Sep 2025,Mining Bench 2 (EX-139),Coal stock ,Coal,BB-52,,209,11
23 Sep 2025,Mining Bench 3 (EX-141),Coal stock ,Coal,BB-52,,76,4
21 Sep 2025,Mining Bench 4 (EX-145),Coal stock ,Coal,BB-78,,19,1
27 Aug 2025,Mining Bench 4 (EX-145),Coal stock ,Coal,BB-45,,19,1
27 Aug 2025,Mining Bench 4 (EX-145),Coal stock ,Coal,BB-53,,133,7
27 Aug 2025,Mining Bench 4 (EX-145),Coal stock ,Coal,BB-78,,19,1
27 Aug 2025,Mining Bench 4 (EX-145),Coal stock ,Coal,BB-42,,19,1
27 Aug 2025,Mining Bench 4 (EX-145),Coal stock ,Coal,BB-43,,19,1
27 Aug 2025,Mining Bench 4 (EX-145),Coal stock ,Coal,BB-44,,19,1
